id,name,monstername,monstericon,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep,bubble
6401,第一关,0,0,2,15,26,C_muzhuang_01.png,11009,8,20,1,5,0,1,5,0,0,0,0,0,0,6401,0,0,0,0,0,1,0,0
6402,第二关搜索,0,0,0,11,18,B_yiji_02.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,6402,15,0,15,192,0,0,0,0
6403,第三关,0,0,2,17,18,C_muzhuang_01.png,14008,8,20,1,5,0,1,5,0,0,0,0,0,0,6404,0,0,0,0,0,1,116403,0
6404,第四关谈判,0,0,2,25,12,sr601.png,13101,10,20,1,5,0,1,5,0,0,0,0,0,0,6405,0,0,0,0,0,1,0,0
6405,第五关,0,0,2,34,14,C_muzhuang_01.png,13102,10,20,1,6,0,1,5,0,0,0,0,0,0,6406,0,0,0,0,0,1,116405,0
6406,第六关野外BOSS,0,0,2,38,28,C_muzhuang_01.png,15003,8,35,2,1,0,1,5,0,0,0,0,0,0,6407,0,0,0,0,0,1,0,0
6407,第七关搜索,0,0,0,47,8,B_yiji_02.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,6408,16,0,16,192,0,0,0,0
6408,第八关,0,0,2,44,24,C_muzhuang_01.png,14008,8,20,1,7,0,1,5,0,0,0,0,0,0,6410,0,0,0,0,0,1,116408,0
6409,第九关谈判,0,0,2,56,22,sr601.png,13103,10,20,1,5,0,1,5,0,0,0,0,0,0,6411,0,0,0,0,0,1,0,0
6410,第十关,0,0,2,57,30,C_muzhuang_01.png,14003,10,20,9,7,0,1,5,0,0,0,0,0,0,6412,0,0,0,0,0,1,116410,0
6411,传送门,0,0,2,61,31,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,641006422,0,0,0,0,0,6420,0,0,0,0,0,1,0,0
6412,第一关宝物,0,0,3,13,26,C_qianbi_03.png,0,8,20,7,4,0,1,5,640106401,0,0,0,0,0,103,0,6413,0,0,0,1,0,0
6413,第一关宝物,0,0,3,17,26,C_qianbi_03.png,0,8,20,7,4,0,1,5,640106401,0,0,0,0,0,103,0,6413,0,0,0,1,0,0
6414,第一关宝物,0,0,3,18,25,C_zuanshi_03.png,0,8,20,10,4,0,1,5,640106401,0,0,0,0,0,113,0,6413,0,0,0,1,0,0
6415,第三关宝物,0,0,3,16,17,C_qianbi_03.png,0,8,20,7,4,0,1,5,640306404,0,0,0,0,0,103,0,6414,0,0,0,1,0,0
6416,第三关宝物,0,0,3,18,17,C_zuanshi_03.png,0,8,20,10,4,0,1,5,640306404,0,0,0,0,0,113,0,6414,0,0,0,1,0,0
6417,第三关宝物,0,0,3,19,18,C_qianbi_03.png,0,8,20,7,4,0,1,5,640306404,0,0,0,0,0,103,0,6414,0,0,0,1,0,0
