id,name,monstername,monstericon,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep,bubble
901,第一关,  前军裨将,hpicon_hero2005,2,23.5,47,C_muzhuang_01.png,1101,10,15,1,5,0,1,5,0,0,0,0,0,0,90101,0,0,0,0,0,1,0,没有人能突破这个防线！
902,第二关,中军裨将,hpicon_hero3002,2,25,44,C_muzhuang_01.png,2103,10,15,1,5,0,1,5,0,0,0,0,0,0,90201,0,0,0,0,0,1,0,看我们一下一个窟窿。
903,第三关,  中军裨将,hpicon_hero2013,2,29,46,C_muzhuang_01.png,2103,10,15,1,5,0,1,5,0,0,0,0,0,0,90301,0,0,0,0,0,1,0,我们战无不胜，攻无不克！
904,第四关,  后军裨将,hpicon_hero1010,2,27,41,C_muzhuang_01.png,2102,10,15,1,5,0,1,5,0,0,0,0,0,0,90401,0,0,0,0,0,1,0,我们所有人都瞄的很准！
905,第五关,  后军裨将,hpicon_hero2010,2,31,43,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,90501,0,0,0,0,0,1,0,在我们的铁蹄下颤抖吧！
906,第六关,  后军裨将,hpicon_hero3001,2,35,45,C_muzhuang_01.png,2102,10,15,1,5,0,1,5,0,0,0,0,0,0,90601,0,0,0,0,0,1,0,我们已经准备好了。
907,第七关,  前军裨将,hpicon_hero2005,2,50.3,48.3,C_muzhuang_01.png,2101,10,15,1,5,0,1,5,0,0,0,0,0,0,90701,0,0,0,0,0,1,0,没有人能突破这个防线！
908,第八关,  后军裨将,hpicon_hero2011,2,54.8,50.8,C_muzhuang_01.png,2101,10,15,1,5,0,1,5,0,0,0,0,0,0,90801,0,0,0,0,0,1,0,看我们一下一个窟窿。
909,第九关,  后军裨将,hpicon_hero4006,2,57.8,47.3,C_muzhuang_01.png,2103,10,15,1,5,0,1,5,0,0,0,0,0,0,90901,0,0,0,0,0,1,0,我们战无不胜，攻无不克！
910,第十关,  前军裨将,hpicon_hero1009,2,63.5,44.5,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,91001,0,0,0,0,0,1,0,在我们的铁蹄下颤抖吧！
911,第十一关,  后军裨将,hpicon_hero1010,2,65.5,41.5,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,91101,0,0,0,0,0,1,0,我们灵巧而精确。
912,第十二关,  后军裨将,hpicon_hero3002,2,69,43.5,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,91201,0,0,0,0,0,1,0,我们射的又快又准。
913,第十三关,  前军裨将,hpicon_hero2013,2,77,43.5,C_muzhuang_01.png,1101,10,15,1,7,0,1,5,0,0,0,0,0,0,91301,0,0,0,0,0,1,0,我们会保护好队友的。
914,第十四关,  前军裨将,hpicon_hero1001,2,78.5,47,C_muzhuang_01.png,1101,10,15,1,7,0,1,5,0,0,0,0,0,0,91401,0,0,0,0,0,1,0,没有人能突破这个防线！
915,第十五关,  前军裨将,hpicon_hero2011,2,82.5,45,C_muzhuang_01.png,1101,10,15,1,7,0,1,5,0,0,0,0,0,0,91501,0,0,0,0,0,1,0,站在我们身后就好！
916,第十六关,  中军裨将,hpicon_hero1009,2,80,49.8,C_muzhuang_01.png,2103,10,15,1,7,0,1,5,0,0,0,0,0,0,91601,0,0,0,0,0,1,0,武器就是一寸长一寸强！
917,第十七关,  中军裨将,hpicon_hero3001,2,84,48,C_muzhuang_01.png,2103,10,15,1,7,0,1,5,0,0,0,0,0,0,91701,0,0,0,0,0,1,0,看我们一下一个窟窿。
918,第十八关,  中军裨将,hpicon_hero3001,2,87.9,46.1,C_muzhuang_01.png,2103,10,15,1,7,0,1,5,0,0,0,0,0,0,91801,0,0,0,0,0,1,0,我们战无不胜，攻无不克！
919,第十九关,  后军裨将,hpicon_hero1010,2,95,34,C_muzhuang_01.png,2101,10,15,1,3,0,1,5,0,0,0,0,0,0,91901,0,0,0,0,0,1,0,我们的箭雨已经准备好了！
920,第二十关,  后军裨将,hpicon_hero3004,2,89.5,31.5,C_muzhuang_01.png,2103,10,15,1,3,0,1,5,0,0,0,0,0,0,92001,0,0,0,0,0,1,0,我们所有人都瞄的很准！
921,第二十一关,  后军裨将,hpicon_hero3004,2,87.3,28.5,C_muzhuang_01.png,2104,10,15,1,5,0,1,5,0,0,0,0,0,0,92101,0,0,0,0,0,1,0,我们已经准备好了。
922,第二十二关,  前军裨将,hpicon_hero1005,2,85.5,17,C_muzhuang_01.png,1101,10,15,1,3,0,1,5,0,0,0,0,0,0,92201,0,0,0,0,0,1,0,没有人能突破这个防线！
923,第二十三关,  前军裨将,hpicon_hero3004,2,89.5,15,C_muzhuang_01.png,1101,10,15,1,3,0,1,5,0,0,0,0,0,0,92301,0,0,0,0,0,1,0,没有人能突破这个防线！
924,第二十四关,  后军裨将,hpicon_hero1018,2,84.5,14,C_muzhuang_01.png,2103,10,15,1,3,0,1,5,0,0,0,0,0,0,92401,0,0,0,0,0,1,0,我们战无不胜，攻无不克！
925,第二十五关,  前军裨将,hpicon_hero3010,2,71.3,10,C_muzhuang_01.png,1101,10,15,1,1,0,1,5,0,0,0,0,0,0,92501,0,0,0,0,0,1,0,我们会保护好队友的。
926,第二十六关,  前军裨将,hpicon_hero2010,2,67,12,C_muzhuang_01.png,2103,10,15,1,1,0,1,5,0,0,0,0,0,0,92601,0,0,0,0,0,1,0,没有人能突破这个防线！
927,第二十七关,  中军裨将,hpicon_hero2010,2,63,14,C_muzhuang_01.png,2103,10,15,1,1,0,1,5,0,0,0,0,0,0,92701,0,0,0,0,0,1,0,冲锋！冲锋！冲锋！
928,第二十八关,  中军裨将,hpicon_hero3009,2,63.5,18,C_muzhuang_01.png,1103,10,15,1,1,0,1,5,0,0,0,0,0,0,92801,0,0,0,0,0,1,0,在我们的铁蹄下颤抖吧！
929,第二十九关,  中军裨将,hpicon_hero1018,2,66.8,20,C_muzhuang_01.png,1103,10,15,1,1,0,1,5,0,0,0,0,0,0,92901,0,0,0,0,0,1,0,准备好受死了么？
930,第三十关,  后军裨将,hpicon_hero1010,2,61.5,21,C_muzhuang_01.png,2102,10,15,1,1,0,1,5,0,0,0,0,0,0,93001,0,0,0,0,0,1,0,我们灵巧而精确。
