id,x,y,icon,changeicon,name,type,initialtype,initial,delayed,trigger,passby,show,event,priority,story,journal,tips,remarks,removetype,removerelation,remove,establish,modify,dispel,performance,setup,describe
1,7,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,初始点
2,7,3,0,0,剧情,2,0,0,0,1,1,0,0,2,201001,先四处查探一番，寻找线索。,0,0,0,0,0,0,0,0,0,0,初始剧情
3,1,7,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400203,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,10,0,0,0,0,普通小怪
4,2,11,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400205,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,11,0,0,0,0,普通小怪
5,5,7,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400201,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,12,0,0,0,0,普通小怪
6,8,15,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400207,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,13,0,0,0,0,普通小怪
7,9,7,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400202,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,14,0,0,0,0,普通小怪
8,12,9,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400204,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,15,0,0,0,0,普通小怪
9,13,13,ins_monster_01,0,敌人,3,0,0,0,0,0,0,400206,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,掉落稀有或精英级别的遗物,0,0,0,16,0,0,0,0,普通小怪
10,1,7,ins_relics_01,0,选择遗物,8,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
11,2,11,ins_relics_01,0,选择遗物,8,2,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
12,5,7,ins_relics_01,0,选择遗物,8,2,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
13,8,15,ins_relics_01,0,选择遗物,8,2,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
14,9,7,ins_relics_01,0,选择遗物,8,2,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
15,12,9,ins_relics_01,0,选择遗物,8,2,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
16,13,13,ins_relics_01,0,选择遗物,8,2,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,小怪BUFF
17,2,16,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400213,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,23,0,0,0,0,普通精锐
18,2,9,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400208,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,24,0,0,0,0,普通精锐
19,5,15,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400210,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,25,0,0,0,0,普通精锐
20,6,9,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400211,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,26,0,0,0,0,普通精锐
21,8,9,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400212,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,27,0,0,0,0,普通精锐
22,11,13,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,400209,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,掉落精英或史诗级别的遗物,0,0,0,28,0,0,0,0,普通精锐
23,2,16,ins_relics_01,0,选择遗物,8,2,17,0,0,0,0,2,2,0,0,0,0,0,0,61,65,0,7|8,20101,0,精锐BUFF
24,2,9,ins_relics_01,0,选择遗物,8,2,18,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
25,5,15,ins_relics_01,0,选择遗物,8,2,19,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
26,6,9,ins_relics_01,0,选择遗物,8,2,20,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
27,8,9,ins_relics_01,0,选择遗物,8,2,21,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
28,11,13,ins_relics_01,0,选择遗物,8,2,22,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,精锐BUFF
