id,name,monstername,monstericon,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep,bubble
1401,第一关,  前军裨将,hpicon_hero2005,2,23.5,47,C_muzhuang_01.png,1101,10,15,1,5,0,1,5,0,0,0,0,0,0,140101,0,0,0,0,0,1,0,没有人能突破这个防线！
1402,第二关,中军裨将,hpicon_hero3002,2,25,44,C_muzhuang_01.png,2103,10,15,1,5,0,1,5,0,0,0,0,0,0,140201,0,0,0,0,0,1,0,看我们一下一个窟窿。
1403,第三关,  中军裨将,hpicon_hero2013,2,29,46,C_muzhuang_01.png,2103,10,15,1,5,0,1,5,0,0,0,0,0,0,140301,0,0,0,0,0,1,0,我们战无不胜，攻无不克！
1404,第四关,  后军裨将,hpicon_hero1010,2,27,41,C_muzhuang_01.png,2102,10,15,1,5,0,1,5,0,0,0,0,0,0,140401,0,0,0,0,0,1,0,我们所有人都瞄的很准！
1405,第五关,  后军裨将,hpicon_hero2010,2,31,43,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,140501,0,0,0,0,0,1,0,在我们的铁蹄下颤抖吧！
1406,第六关,  后军裨将,hpicon_hero3001,2,35,45,C_muzhuang_01.png,2102,10,15,1,5,0,1,5,0,0,0,0,0,0,140601,0,0,0,0,0,1,0,我们已经准备好了。
1407,第七关,  前军裨将,hpicon_hero2005,2,50.3,48.3,C_muzhuang_01.png,2101,10,15,1,5,0,1,5,0,0,0,0,0,0,140701,0,0,0,0,0,1,0,没有人能突破这个防线！
1408,第八关,  后军裨将,hpicon_hero2011,2,54.8,50.8,C_muzhuang_01.png,2101,10,15,1,5,0,1,5,0,0,0,0,0,0,140801,0,0,0,0,0,1,0,看我们一下一个窟窿。
1409,第九关,  后军裨将,hpicon_hero4006,2,57.8,47.3,C_muzhuang_01.png,2103,10,15,1,5,0,1,5,0,0,0,0,0,0,140901,0,0,0,0,0,1,0,我们战无不胜，攻无不克！
1410,第十关,  前军裨将,hpicon_hero1009,2,63.5,44.5,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,141001,0,0,0,0,0,1,0,在我们的铁蹄下颤抖吧！
1411,第十一关,  后军裨将,hpicon_hero1010,2,65.5,41.5,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,141101,0,0,0,0,0,1,0,我们灵巧而精确。
1412,第十二关,  后军裨将,hpicon_hero3002,2,69,43.5,C_muzhuang_01.png,1103,10,15,1,5,0,1,5,0,0,0,0,0,0,141201,0,0,0,0,0,1,0,我们射的又快又准。
1413,第十三关,  前军裨将,hpicon_hero2013,2,78,44,C_muzhuang_01.png,2104,10,15,1,7,0,1,5,0,0,0,0,0,0,141301,0,0,0,0,0,1,0,武器就是一寸长一寸强！
1414,第十四关,  中军裨将,hpicon_hero1001,2,81,48.5,C_muzhuang_01.png,1103,10,15,1,7,0,1,5,0,0,0,0,0,0,141401,0,0,0,0,0,1,0,我们射的又快又准。
1415,第十五关,  中军裨将,hpicon_hero2011,2,85,46.5,C_muzhuang_01.png,1103,10,15,1,7,0,1,5,0,0,0,0,0,0,141501,0,0,0,0,0,1,0,我们喜欢平原地区。
1416,第十六关,  后军裨将,hpicon_hero1009,2,95,34,C_muzhuang_01.png,2101,10,15,1,3,0,1,5,0,0,0,0,0,0,141601,0,0,0,0,0,1,0,我们的箭雨已经准备好了！
1417,第十七关,  后军裨将,hpicon_hero3001,2,89.5,31.5,C_muzhuang_01.png,2103,10,15,1,3,0,1,5,0,0,0,0,0,0,141701,0,0,0,0,0,1,0,我们所有人都瞄的很准！
1418,第十八关,  后军裨将,hpicon_hero3001,2,87.3,28.5,C_muzhuang_01.png,2104,10,15,1,5,0,1,5,0,0,0,0,0,0,141801,0,0,0,0,0,1,0,我们已经准备好了。
1419,第十九关,  前军裨将,hpicon_hero2004,2,87,18,C_muzhuang_01.png,1101,10,15,1,3,0,1,5,0,0,0,0,0,0,141901,0,0,0,0,0,1,0,我们会保护好队友的。
1420,第二十关,  前军裨将,hpicon_hero1005,2,92,15.5,C_muzhuang_01.png,1101,10,15,1,3,0,1,5,0,0,0,0,0,0,142001,0,0,0,0,0,1,0,没有人能突破这个防线！
1421,第二十一关,  中军裨将,hpicon_hero3004,2,82,17,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,142101,0,0,0,0,0,1,0,冲锋！冲锋！冲锋！
1422,第二十二关,  中军裨将,hpicon_hero1018,2,86,15,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,142201,0,0,0,0,0,1,0,在我们的铁蹄下颤抖吧！
1423,第二十三关,  中军裨将,hpicon_hero3010,2,90,13,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,142301,0,0,0,0,0,1,0,准备好受死了么？
1424,第二十四关,  后军裨将,hpicon_hero2010,2,82.2,13,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,142401,0,0,0,0,0,1,0,我们灵巧而精确。
1425,第二十五关,  前军裨将,hpicon_hero1018,2,71.3,10,C_muzhuang_01.png,1103,10,15,1,1,0,1,5,0,0,0,0,0,0,142501,0,0,0,0,0,1,0,准备好受死了么？
1426,第二十六关,  后军裨将,hpicon_hero3010,2,67,12,C_muzhuang_01.png,1103,10,15,1,1,0,1,5,0,0,0,0,0,0,142601,0,0,0,0,0,1,0,我们灵巧而精确。
1427,第二十七关,  后军裨将,hpicon_hero2010,2,63,14,C_muzhuang_01.png,1103,10,15,1,1,0,1,5,0,0,0,0,0,0,142701,0,0,0,0,0,1,0,我们射的又快又准。
1428,第二十八关,  前军裨将,hpicon_hero3009,2,63.5,18,C_muzhuang_01.png,1101,10,15,1,1,0,1,5,0,0,0,0,0,0,142801,0,0,0,0,0,1,0,我们会保护好队友的。
1429,第二十九关,  前军裨将,hpicon_hero1018,2,66.8,20,C_muzhuang_01.png,1101,10,15,1,1,0,1,5,0,0,0,0,0,0,142901,0,0,0,0,0,1,0,没有人能突破这个防线！
1430,第三十关,  中军裨将,hpicon_hero1010,2,61.5,21,C_muzhuang_01.png,2102,10,15,1,1,0,1,5,0,0,0,0,0,0,143001,0,0,0,0,0,1,0,我们所有人都瞄的很准！
1431,第三十一关,  后军裨将,hpicon_hero3004,2,57.5,23,C_muzhuang_01.png,2102,10,15,1,1,0,1,5,0,0,0,0,0,0,143101,0,0,0,0,0,1,0,我们已经准备好了。
1432,第三十二关,  前军裨将,hpicon_hero3009,2,33,22,C_muzhuang_01.png,1101,10,15,1,3,0,1,5,0,0,0,0,0,0,143201,0,0,0,0,0,1,0,站在我们身后就好！
1433,第三十三关,  中军裨将,hpicon_hero1018,2,28,21,C_muzhuang_01.png,2103,10,15,1,3,0,1,5,0,0,0,0,0,0,143301,0,0,0,0,0,1,0,武器就是一寸长一寸强！
1434,第三十四关,  中军裨将,hpicon_hero1010,2,32,19,C_muzhuang_01.png,2103,10,15,1,3,0,1,5,0,0,0,0,0,0,143401,0,0,0,0,0,1,0,我们战无不胜，攻无不克！
1435,第三十五关,  右军偏将,hpicon_hero3004,2,21.5,20.5,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,143501,0,0,0,0,0,1,0,在我们的铁蹄下颤抖吧！
1436,第三十六关,  左军偏将,hpicon_hero3004,2,29.5,16.5,C_muzhuang_01.png,1103,10,15,1,3,0,1,5,0,0,0,0,0,0,143601,0,0,0,0,0,1,0,准备好受死了么？
1437,第三十七关,  后军偏将,hpicon_hero2004,2,17,18,C_muzhuang_01.png,2102,10,15,1,3,0,1,5,0,0,0,0,0,0,143701,0,0,0,0,0,1,0,我们的箭雨已经准备好了！
1438,第三十八关,  后军偏将,hpicon_hero1005,2,21,16,C_muzhuang_01.png,2102,10,15,1,3,0,1,5,0,0,0,0,0,0,143801,0,0,0,0,0,1,0,我们所有人都瞄的很准！
1439,第三十九关,  后军偏将,hpicon_hero2010,2,25,14,C_muzhuang_01.png,2102,10,15,1,3,0,1,5,0,0,0,0,0,0,143901,0,0,0,0,0,1,0,我们已经准备好了。
1440,第四十关,   夏侯惇,hpicon_hero2010,2,25.5,18.5,C_muzhuang_01.png,2010,10,15,1,3,0,1,5,0,0,0,0,0,0,144001,0,0,0,0,0,1,0,你就是我接下来的军功么？
14001,场景火3,0,0,4,94,48,C_muzhuang_01.png,2102,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14002,场景火3,0,0,4,75,12,C_muzhuang_01.png,2102,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14003,场景火3,0,0,4,23,26,C_muzhuang_01.png,2102,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14004,场景火3,0,0,4,56,38,C_muzhuang_01.png,2102,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14005,场景火3,0,0,4,34.5,30,C_muzhuang_01.png,2102,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14006,场景火3,0,0,4,94,36.5,C_muzhuang_01.png,2102,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14007,场景火3,0,0,4,56,15,C_muzhuang_01.png,2102,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14008,场景火3,0,0,4,65,24,C_muzhuang_01.png,2102,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14009,场景火3,0,0,4,84,36,C_muzhuang_01.png,2102,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
