id,x,y,icon,changeicon,name,type,initialtype,initial,delayed,trigger,passby,show,event,priority,story,journal,tips,remarks,removetype,removerelation,remove,establish,modify,dispel,performance,setup,describe
1,8,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,平原
2,10,3,ins_monster_01,0,敌人,3,0,0,0,0,0,0,500421,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,0,0,0,0,0,0,0,0,0,普通小怪
3,6,3,ins_monster_01,0,敌人,3,0,0,0,0,0,0,500422,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,0,0,0,0,0,0,0,0,0,普通小怪
4,14,12,ins_monster_01,0,敌人,3,0,0,0,0,0,0,500423,1,0,0,此处被一队实力普通的敌人占据。\n击败他们才能通过此处。,0,0,0,0,0,0,0,0,0,普通小怪
5,2,12,ins_monster_02,0,精锐敌人,4,0,0,0,0,0,0,500425,1,0,0,此处被一队实力强劲的敌人占据。\n击败他们才能通过此处。,0,0,0,0,0,0,0,0,0,普通精锐
6,11,2,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,404101,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
7,11,3,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,404102,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
8,5,2,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,404103,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
9,5,3,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,404104,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
10,14,13,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,404105,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
11,15,14,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,404106,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
12,2,13,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,404107,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
13,1,14,ins_case_01,0,普通宝箱,6,0,0,0,1,0,0,404108,1,0,0,0,0,0,0,0,0,0,0,0,0,普通宝箱
