id,name,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep
601,第一关,2,15,13,C_muzhuang_01.png,11007,8,20,1,7,0,1,5,0,0,0,0,0,0,601,0,0,0,0,0,1,0
602,第二关搜索,0,15,33,B_yiji_03.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,602,15,0,15,192,0,0,0
603,第三关,2,15,25,C_muzhuang_01.png,11007,8,20,1,1,0,1,5,0,0,0,0,0,0,604,0,0,0,0,0,1,110603
604,第四关,2,26,31,C_muzhuang_01.png,11007,8,20,1,7,0,1,5,0,0,0,0,0,0,605,0,0,0,0,0,1,0
605,第五关,2,34,20,C_muzhuang_01.png,12010,8,25,1,4,0,1,5,0,0,0,0,0,0,606,0,0,0,0,0,1,110605
606,第六关,2,35,10,C_muzhuang_01.png,15006,20,20,1,4,0,1,5,0,0,0,0,0,0,607,0,0,0,0,0,1,0
607,第七关搜索,0,57,12,B_yiji_03.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,608,16,0,16,192,0,0,0
608,第八关,2,55,18,C_muzhuang_01.png,12010,8,25,1,6,0,1,5,0,0,0,0,0,0,610,0,0,0,0,0,1,110608
609,第九关,2,47,31,C_muzhuang_01.png,12010,8,20,1,0,0,1,5,0,0,0,0,0,0,611,0,0,0,0,0,1,0
610,第十关,2,60,25,C_muzhuang_01.png,13001,8,20,1,7,0,1,5,0,0,0,0,0,0,612,0,0,0,0,0,1,110610
611,传送门,2,64,28,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,61000612,0,0,0,0,0,620,0,0,0,0,0,1,0
612,第六关宝物,3,37,9,C_qianbi_01.png,0,8,20,7,4,0,1,5,60600607,0,0,0,0,0,101,0,617,0,0,0,1,0
613,第六关宝物,3,37,10,C_qianbi_01.png,0,8,20,7,4,0,1,5,60600607,0,0,0,0,0,101,0,617,0,0,0,1,0
614,第六关宝物,3,37,11,C_zuanshi_01.png,0,8,20,7,4,0,1,5,60600607,0,0,0,0,0,111,0,617,0,0,0,1,0
615,第六关宝物,3,35,9,C_qianbi_01.png,0,8,20,7,4,0,1,5,60600607,0,0,0,0,0,101,0,617,0,0,0,1,0
616,第六关宝物,3,36,11,C_zuanshi_02.png,0,8,20,7,4,0,1,5,60600607,0,0,0,0,0,112,0,617,0,0,0,1,0
617,第六关宝物,3,36,9,C_qianbi_02.png,0,8,20,7,4,0,1,5,60600607,0,0,0,0,0,102,0,617,0,0,0,1,0
618,第六关宝物,3,35,11,C_zuanshi_01.png,0,8,20,7,4,0,1,5,60600607,0,0,0,0,0,111,0,617,0,0,0,1,0
619,第六关宝物,3,45,29,C_qianbi_02.png,0,8,20,7,4,0,1,5,60900611,0,0,0,0,0,102,0,619,0,0,0,1,0
620,第六关宝物,3,45,30,C_zuanshi_01.png,0,8,20,7,4,0,1,5,60900611,0,0,0,0,0,111,0,619,0,0,0,1,0
