id,name,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep
1701,第一关,2,15,27,C_muzhuang_01.png,11011,8,20,1,4,0,1,5,0,0,0,0,0,0,1701,0,0,0,0,0,1,0
1702,第二关搜索,0,11,17,B_yiji_01.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,1702,15,0,15,192,0,0,0
1703,第三关,2,19,14,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,1704,0,0,0,0,0,1,111703
1704,第四关,2,33,28,C_muzhuang_01.png,11101,10,20,1,1,0,1,5,0,0,0,0,0,0,1705,0,0,0,0,0,1,0
1705,第五关,2,30,18,C_muzhuang_01.png,14001,8,20,1,5,0,1,5,0,0,0,0,0,0,1706,0,0,0,0,0,1,111705
1706,第六关,2,49,9,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,1707,0,0,0,0,0,1,0
1707,第七关搜索,0,43,11,B_yiji_01.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,1708,15,0,15,192,0,0,0
1708,第八关,2,50,30,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,1710,0,0,0,0,0,1,111708
1709,第九关,2,53,22,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,1711,0,0,0,0,0,1,0
1710,第十关,2,59,14,C_muzhuang_01.png,12008,8,25,1,4,0,1,5,0,0,0,0,0,0,1712,0,0,0,0,0,1,111710
1711,传送门,2,64,10,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,171001712,0,0,0,0,0,1720,0,0,0,0,0,1,0
1712,第一关宝物,3,17,27,C_qianbi_01.png,0,8,20,7,4,0,1,5,170101701,0,0,0,0,0,101,0,1713,0,0,0,1,0
1713,第三关宝物,3,18,12,C_qianbi_01.png,0,8,20,7,4,0,1,5,170301704,0,0,0,0,0,101,0,1714,0,0,0,1,0
1714,第四关宝物,3,34,31,C_zuanshi_01.png,0,8,20,7,4,0,1,5,170401705,0,0,0,0,0,111,0,1715,0,0,0,1,0
1715,第五关宝物,3,32,18,C_qianbi_01.png,0,8,20,7,4,0,1,5,170501706,0,0,0,0,0,101,0,1716,0,0,0,1,0
1716,第六关宝物,3,47,7,C_zuanshi_01.png,0,8,20,7,4,0,1,5,170601707,0,0,0,0,0,111,0,1717,0,0,0,1,0
1717,第八关宝物,3,51,28,C_qianbi_01.png,0,8,20,7,4,0,1,5,170801710,0,0,0,0,0,101,0,1718,0,0,0,1,0
1718,第九关宝物,3,52,22,C_zuanshi_01.png,0,8,20,7,4,0,1,5,170901711,0,0,0,0,0,111,0,1719,0,0,0,1,0
