id,name,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep
1501,第一关,2,46,28,C_muzhuang_01.png,13009,8,20,1,4,0,1,5,0,0,0,0,0,0,1501,0,0,0,0,0,1,0
1502,第二关搜索,0,47,20,B_yiji_02.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,1502,15,0,15,192,0,0,0
1503,第三关,2,62,19,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,1504,0,0,0,0,0,1,111503
1504,第四关,2,58,28,C_muzhuang_01.png,11101,10,25,1,4,0,1,5,0,0,0,0,0,0,1505,0,0,0,0,0,1,0
1505,第五关,2,46,9,C_muzhuang_01.png,14006,8,20,1,4,0,1,5,0,0,0,0,0,0,1506,0,0,0,0,0,1,111505
1506,第六关,2,16,29,C_muzhuang_01.png,11101,10,20,1,1,0,1,5,0,0,0,0,0,0,1507,0,0,0,0,0,1,0
1507,第七关搜索,0,11,9,B_yiji_02.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,1508,15,0,15,192,0,0,0
1508,第八关,2,26,20,C_muzhuang_01.png,11101,10,20,1,1,0,1,5,0,0,0,0,0,0,1510,0,0,0,0,0,1,111508
1509,第九关,2,17,19,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,1511,0,0,0,0,0,1,0
1510,第十关,2,24,11,C_muzhuang_01.png,13007,8,20,1,4,0,1,5,0,0,0,0,0,0,1512,0,0,0,0,0,1,111510
1511,传送门,2,25,6,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,151001512,0,0,0,0,0,1520,0,0,0,0,0,1,0
1512,第一关宝物,3,48,27,C_qianbi_01.png,0,8,20,7,4,0,1,5,150101501,0,0,0,0,0,101,0,1513,0,0,0,1,0
1513,第三关宝物,3,60,18,C_qianbi_01.png,0,8,20,7,4,0,1,5,150301504,0,0,0,0,0,101,0,1514,0,0,0,1,0
1514,第四关宝物,3,58,26,C_zuanshi_01.png,0,8,20,7,4,0,1,5,150401505,0,0,0,0,0,111,0,1515,0,0,0,1,0
1515,第五关宝物,3,44,10,C_qianbi_01.png,0,8,20,7,4,0,1,5,150501506,0,0,0,0,0,101,0,1516,0,0,0,1,0
1516,第六关宝物,3,14,29,C_zuanshi_01.png,0,8,20,7,4,0,1,5,150601507,0,0,0,0,0,111,0,1517,0,0,0,1,0
1517,第八关宝物,3,24,21,C_qianbi_01.png,0,8,20,7,4,0,1,5,150801510,0,0,0,0,0,101,0,1518,0,0,0,1,0
1518,第九关宝物,3,15,19,C_zuanshi_01.png,0,8,20,7,4,0,1,5,150901511,0,0,0,0,0,111,0,1519,0,0,0,1,0
