id,name,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep
2601,第一关,2,16,15,C_muzhuang_01.png,11004,8,20,1,6,0,1,5,0,0,0,0,0,0,2601,0,0,0,0,0,1,0
2602,第二关搜索,0,27,9,B_yiji_02.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,2602,15,0,15,192,0,0,0
2603,第三关,2,25,16,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,2604,0,0,0,0,0,1,1102603
2604,第四关,2,13,24,C_muzhuang_01.png,11101,10,20,1,2,0,1,5,0,0,0,0,0,0,2605,0,0,0,0,0,1,0
2605,第五关,2,38,14,C_muzhuang_01.png,13010,8,20,1,4,0,1,5,0,0,0,0,0,0,2606,0,0,0,0,0,1,1102605
2606,第六关,2,35,30,C_muzhuang_01.png,11101,10,20,1,1,0,1,5,0,0,0,0,0,0,2607,0,0,0,0,0,1,0
2607,第七关搜索,0,47,8,B_yiji_02.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,2608,16,0,16,192,0,0,0
2608,第八关,2,44,20,C_muzhuang_01.png,11101,10,20,1,7,0,1,5,0,0,0,0,0,0,2610,0,0,0,0,0,1,1102608
2609,第九关,2,54,26,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,2611,0,0,0,0,0,1,0
2610,第十关,2,58,30,C_muzhuang_01.png,11004,8,20,1,7,0,1,5,0,0,0,0,0,0,2612,0,0,0,0,0,1,1102610
2611,传送门,2,64,31,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,261002612,0,0,0,0,0,2620,0,0,0,0,0,1,0
2612,第一关宝物,3,16,17,C_qianbi_01.png,0,8,20,7,4,0,1,5,260102601,0,0,0,0,0,101,0,2613,0,0,0,1,0
2613,第三关宝物,3,28,16,C_qianbi_01.png,0,8,20,7,4,0,1,5,260302604,0,0,0,0,0,101,0,2614,0,0,0,1,0
2614,第四关宝物,3,15,25,C_zuanshi_01.png,0,8,20,7,4,0,1,5,260402605,0,0,0,0,0,111,0,2615,0,0,0,1,0
2615,第五关宝物,3,40,16,C_qianbi_01.png,0,8,20,7,4,0,1,5,260502606,0,0,0,0,0,101,0,2616,0,0,0,1,0
2616,第六关宝物,3,32,30,C_zuanshi_01.png,0,8,20,7,4,0,1,5,260602607,0,0,0,0,0,111,0,2617,0,0,0,1,0
2617,第八关宝物,3,46,22,C_qianbi_01.png,0,8,20,7,4,0,1,5,260802610,0,0,0,0,0,101,0,2618,0,0,0,1,0
2618,第九关宝物,3,57,26,C_zuanshi_01.png,0,8,20,7,4,0,1,5,260902611,0,0,0,0,0,111,0,2619,0,0,0,1,0
