id,name,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep
1301,第一关,2,19,26,C_muzhuang_01.png,14005,8,20,1,4,0,1,5,0,0,0,0,0,0,1301,0,0,0,0,0,1,0
1302,第二关搜索,0,9,10,B_yiji_04.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,1302,15,0,15,192,0,0,0
1303,第三关,2,22,17,C_muzhuang_01.png,11101,10,20,1,6,0,1,5,0,0,0,0,0,0,1304,0,0,0,0,0,1,111303
1304,第四关,2,40,27,C_muzhuang_01.png,11101,10,20,1,6,0,1,5,0,0,0,0,0,0,1305,0,0,0,0,0,1,0
1305,第五关,2,34,17,C_muzhuang_01.png,13003,8,20,1,0,0,1,5,0,0,0,0,0,0,1306,0,0,0,0,0,1,111305
1306,第六关,2,41,9,C_muzhuang_01.png,11101,10,20,1,7,0,1,5,0,0,0,0,0,0,1307,0,0,0,0,0,1,0
1307,第七关搜索,0,58,22,B_yiji_04.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,1308,16,0,16,192,0,0,0
1308,第八关,2,46,22,C_muzhuang_01.png,11101,10,20,1,6,0,1,5,0,0,0,0,0,0,1310,0,0,0,0,0,1,111308
1309,第九关,2,59,29,C_muzhuang_01.png,11101,10,20,1,5,0,1,5,0,0,0,0,0,0,1311,0,0,0,0,0,1,0
1310,第十关,2,58,15,C_muzhuang_01.png,15007,20,20,1,7,0,1,5,0,0,0,0,0,0,1312,0,0,0,0,0,1,111310
1311,传送门,2,62,8,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,131001312,0,0,0,0,0,1320,0,0,0,0,0,1,0
1312,第一关宝物,3,17,25,C_qianbi_01.png,0,8,20,7,4,0,1,5,130101301,0,0,0,0,0,101,0,1313,0,0,0,1,0
1313,第三关宝物,3,24,16,C_qianbi_01.png,0,8,20,7,4,0,1,5,130301304,0,0,0,0,0,101,0,1314,0,0,0,1,0
1314,第四关宝物,3,37,28,C_zuanshi_01.png,0,8,20,7,4,0,1,5,130401305,0,0,0,0,0,111,0,1315,0,0,0,1,0
1315,第五关宝物,3,33,14,C_qianbi_01.png,0,8,20,7,4,0,1,5,130501306,0,0,0,0,0,101,0,1316,0,0,0,1,0
1316,第六关宝物,3,40,7,C_zuanshi_01.png,0,8,20,7,4,0,1,5,130601307,0,0,0,0,0,111,0,1317,0,0,0,1,0
1317,第八关宝物,3,48,20,C_qianbi_01.png,0,8,20,7,4,0,1,5,130801310,0,0,0,0,0,101,0,1318,0,0,0,1,0
1318,第九关宝物,3,58,31,C_zuanshi_01.png,0,8,20,7,4,0,1,5,130901311,0,0,0,0,0,111,0,1319,0,0,0,1,0
