id,name,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep
2101,第一关,2,17,30,C_muzhuang_01.png,11003,8,20,1,6,0,1,5,0,0,0,0,0,0,2101,0,0,0,0,0,1,0
2102,第二关搜索,0,15,10,B_yiji_03.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,2102,15,0,15,192,0,0,0
2103,第三关,2,29,21,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,2104,0,0,0,0,0,1,112103
2104,第四关,2,24,14,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,2105,0,0,0,0,0,1,0
2105,第五关,2,36,13,C_muzhuang_01.png,12002,8,20,1,4,0,1,5,0,0,0,0,0,0,2106,0,0,0,0,0,1,112105
2106,第六关,2,44,31,C_muzhuang_01.png,11101,10,20,1,0,0,1,5,0,0,0,0,0,0,2107,0,0,0,0,0,1,0
2107,第七关搜索,0,51,10,B_yiji_03.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,2108,16,0,16,192,0,0,0
2108,第八关,2,47,15,C_muzhuang_01.png,11101,10,20,1,4,0,1,5,0,0,0,0,0,0,2110,0,0,0,0,0,1,112108
2109,第九关,2,43,23,C_muzhuang_01.png,11101,10,20,1,0,0,1,5,0,0,0,0,0,0,2111,0,0,0,0,0,1,0
2110,第十关,2,58,22,C_muzhuang_01.png,12001,8,20,1,5,0,1,5,0,0,0,0,0,0,2112,0,0,0,0,0,1,112110
2111,传送门,2,64,27,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,211002112,0,0,0,0,0,2120,0,0,0,0,0,1,0
2112,第一关宝物,3,18,29,C_qianbi_01.png,0,8,20,7,4,0,1,5,210102101,0,0,0,0,0,101,0,2113,0,0,0,1,0
2113,第三关宝物,3,31,20,C_qianbi_01.png,0,8,20,7,4,0,1,5,210302104,0,0,0,0,0,101,0,2114,0,0,0,1,0
2114,第四关宝物,3,22,15,C_zuanshi_01.png,0,8,20,7,4,0,1,5,210402105,0,0,0,0,0,111,0,2115,0,0,0,1,0
2115,第五关宝物,3,34,9,C_qianbi_01.png,0,8,20,7,4,0,1,5,210502106,0,0,0,0,0,101,0,2116,0,0,0,1,0
2116,第六关宝物,3,48,29,C_zuanshi_01.png,0,8,20,7,4,0,1,5,210602107,0,0,0,0,0,111,0,2117,0,0,0,1,0
2117,第八关宝物,3,48,13,C_qianbi_01.png,0,8,20,7,4,0,1,5,210802110,0,0,0,0,0,101,0,2118,0,0,0,1,0
2118,第九关宝物,3,45,20,C_zuanshi_01.png,0,8,20,7,4,0,1,5,210902111,0,0,0,0,0,111,0,2119,0,0,0,1,0
