id,name,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep
1001,第一关,2,17,23,C_muzhuang_01.png,13007,8,25,1,7,0,1,5,0,0,0,0,0,0,1001,0,0,0,0,0,1,0
1002,第二关搜索,0,12,10,B_yiji_04.png,0,8,20,5,1,0,1,5,0,0,0,0,0,0,1002,15,0,15,192,0,0,0
1003,第三关,2,26,15,C_muzhuang_01.png,12001,8,20,1,7,0,1,5,0,0,0,0,0,0,1004,0,0,0,0,0,1,111003
1004,第四关,2,34,10,C_muzhuang_01.png,12103,10,20,1,7,0,1,5,0,0,0,0,0,0,1005,0,0,0,0,0,1,0
1005,第五关,2,46,12,C_muzhuang_01.png,13007,8,20,1,6,0,1,5,0,0,0,0,0,0,1006,0,0,0,0,0,1,111005
1006,第六关,2,58,29,C_muzhuang_01.png,15003,20,20,1,5,0,1,5,0,0,0,0,0,0,1007,0,0,0,0,0,1,0
1007,第七关搜索,0,57,8,B_yiji_04.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,1008,16,0,16,192,0,0,0
1008,第八关,2,48,30,C_muzhuang_01.png,14007,8,20,1,1,0,1,5,0,0,0,0,0,0,1010,0,0,0,0,0,1,111008
1009,第九关,2,36,31,C_muzhuang_01.png,12102,10,20,1,2,0,1,5,0,0,0,0,0,0,1011,0,0,0,0,0,1,0
1010,第十关,2,34,23,C_muzhuang_01.png,14007,8,25,1,4,0,1,5,0,0,0,0,0,0,1012,0,0,0,0,0,1,111010
1011,传送门,2,38,19,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,101001012,0,0,0,0,0,1020,0,0,0,0,0,1,0
1012,第一关宝物,3,19,23,C_qianbi_01.png,0,8,20,7,4,0,1,5,100101001,0,0,0,0,0,101,0,1013,0,0,0,1,0
1013,第三关宝物,3,26,13,C_qianbi_01.png,0,8,20,7,4,0,1,5,100301004,0,0,0,0,0,101,0,1014,0,0,0,1,0
1014,第四关宝物,3,36,10,C_zuanshi_01.png,0,8,20,7,4,0,1,5,100401005,0,0,0,0,0,111,0,1015,0,0,0,1,0
1015,第五关宝物,3,48,11,C_qianbi_01.png,0,8,20,7,4,0,1,5,100501006,0,0,0,0,0,101,0,1016,0,0,0,1,0
1016,第六关宝物,3,61,29,C_zuanshi_01.png,0,8,20,7,4,0,1,5,100601007,0,0,0,0,0,111,0,1017,0,0,0,1,0
1017,第八关宝物,3,47,32,C_qianbi_01.png,0,8,20,7,4,0,1,5,100801010,0,0,0,0,0,101,0,1018,0,0,0,1,0
1018,第九关宝物,3,34,32,C_zuanshi_01.png,0,8,20,7,4,0,1,5,100901011,0,0,0,0,0,111,0,1019,0,0,0,1,0
