id,name,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep
1101,第一关,2,16,16,C_muzhuang_01.png,12007,8,25,1,5,0,1,5,0,0,0,0,0,0,1101,0,0,0,0,0,1,0
1102,第二关搜索,0,26,16,B_yiji_04.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,1102,16,0,16,192,0,0,0
1103,第三关,2,28,22,C_muzhuang_01.png,11101,10,25,1,6,0,1,5,0,0,0,0,0,0,1104,0,0,0,0,0,1,111103
1104,第四关,2,16,28,C_muzhuang_01.png,11101,10,20,1,1,0,1,5,0,0,0,0,0,0,1105,0,0,0,0,0,1,0
1105,第五关,2,35,19,C_muzhuang_01.png,14004,8,20,1,7,0,1,5,0,0,0,0,0,0,1106,0,0,0,0,0,1,111105
1106,第六关,2,43,25,C_muzhuang_01.png,11101,10,20,1,5,0,1,5,0,0,0,0,0,0,1107,0,0,0,0,0,1,0
1107,第七关搜索,0,58,12,B_yiji_04.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,1108,16,0,16,192,0,0,0
1108,第八关,2,51,19,C_muzhuang_01.png,11101,10,20,1,6,0,1,5,0,0,0,0,0,0,1110,0,0,0,0,0,1,111108
1109,第九关,2,42,9,C_muzhuang_01.png,11101,10,20,1,5,0,1,5,0,0,0,0,0,0,1111,0,0,0,0,0,1,0
1110,第十关,2,55,31,C_muzhuang_01.png,14005,8,20,1,5,0,1,5,0,0,0,0,0,0,1112,0,0,0,0,0,1,111110
1111,传送门,2,59,36,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,111001112,0,0,0,0,0,1120,0,0,0,0,0,1,0
1112,第一关宝物,3,18,16,C_qianbi_01.png,0,8,20,7,4,0,1,5,110101101,0,0,0,0,0,101,0,1113,0,0,0,1,0
1113,第三关宝物,3,30,23,C_qianbi_01.png,0,8,20,7,4,0,1,5,110301104,0,0,0,0,0,101,0,1114,0,0,0,1,0
1114,第四关宝物,3,15,29,C_zuanshi_01.png,0,8,20,7,4,0,1,5,110401105,0,0,0,0,0,111,0,1115,0,0,0,1,0
1115,第五关宝物,3,34,17,C_qianbi_01.png,0,8,20,7,4,0,1,5,110501106,0,0,0,0,0,101,0,1116,0,0,0,1,0
1116,第六关宝物,3,41,26,C_zuanshi_01.png,0,8,20,7,4,0,1,5,110601107,0,0,0,0,0,111,0,1117,0,0,0,1,0
1117,第八关宝物,3,53,19,C_qianbi_01.png,0,8,20,7,4,0,1,5,110801110,0,0,0,0,0,101,0,1118,0,0,0,1,0
1118,第九关宝物,3,43,7,C_zuanshi_01.png,0,8,20,7,4,0,1,5,110901111,0,0,0,0,0,111,0,1119,0,0,0,1,0
