index,name,tx,ty,ts,e1,frame1,e1x,e1y,e1s,e2,frame2,e2x,e2y,e2s,wave
1,普通怪物,0,0,10,aureole2.png,0,0,0,10,0,0,0,0,0,0
2,BOSS怪,0,0,25,aureole6.png,0,0,0,25,0,0,0,0,0,0
3,友方NPC,0,0,10,aureole1.png,0,0,0,10,0,0,0,0,0,0
4,普通道具,0,0,10,0,0,0,0,0,0,0,0,0,0,0
5,遗迹,-10,-55,0,0,0,0,0,0,0,0,0,0,0,0
6,营地,10,-20,20,0,0,0,0,0,0,0,0,0,0,0
7,金币,0,0,10,gold_1,1|10,0,0,10,0,0,0,0,0,0
8,钻石,0,0,10,zuanshi_1,1|10,0,0,10,0,0,0,0,0,0
9,关卡BOOS,0,0,15,aureole6.png,0,0,0,15,0,0,0,0,0,0
10,钻石小,0,0,10,zuanshi_1,1|10,0,0,7,0,0,0,0,0,0
12,绿装,-3,-35,10,flash_1,1|10,0,-8,15,0,0,0,0,0,1
16,红装,-3,-35,10,flash_5,1|10,0,-12,15,0,0,0,0,0,1
20,传送门1,0,0,0,csm_1,1|18,0,0,20,0,0,0,0,0,0
21,传送门2,0,0,0,csm_2,1|18,0,2,30,0,0,0,0,0,0
25,遗迹特效,5,-55,15,gold_1,1|10,5,10,25,0,0,0,0,0,0
26,营地特效,10,-20,20,gold_1,1|10,5,10,20,0,0,0,0,0,0
