id,name,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep
901,第一关,2,14,19,C_muzhuang_01.png,12001,8,20,1,7,0,1,5,0,0,0,0,0,0,901,0,0,0,0,0,1,0
902,第二关搜索,0,30,7,B_yiji_03.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,902,16,0,16,192,0,0,0
903,第三关,2,22,15,C_muzhuang_01.png,11007,8,20,1,7,0,1,5,0,0,0,0,0,0,904,0,0,0,0,0,1,110903
904,第四关,2,21,28,C_muzhuang_01.png,11101,10,20,1,1,0,1,5,0,0,0,0,0,0,905,0,0,0,0,0,1,0
905,第五关,2,29,21,C_muzhuang_01.png,13008,8,20,1,5,0,1,5,0,0,0,0,0,0,906,0,0,0,0,0,1,110905
906,第六关,2,60,29,C_muzhuang_01.png,11104,10,20,1,5,0,1,5,0,0,0,0,0,0,907,0,0,0,0,0,1,0
907,第七关搜索,0,53,10,B_yiji_03.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,908,16,0,16,192,0,0,0
908,第八关,2,44,24,C_muzhuang_01.png,13009,8,20,1,7,0,1,5,0,0,0,0,0,0,910,0,0,0,0,0,1,110908
909,第九关,2,53,21,C_muzhuang_01.png,13007,8,20,1,6,0,1,5,0,0,0,0,0,0,911,0,0,0,0,0,1,0
910,第十关,2,61,18,C_muzhuang_01.png,12001,8,20,1,7,0,1,5,0,0,0,0,0,0,912,0,0,0,0,0,1,110910
911,传送门,2,67,15,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,91000912,0,0,0,0,0,920,0,0,0,0,0,1,0
912,第一关宝物,3,14,17,C_qianbi_01.png,0,8,20,7,4,0,1,5,90100901,0,0,0,0,0,101,0,913,0,0,0,1,0
913,第三关宝物,3,22,13,C_qianbi_01.png,0,8,20,7,4,0,1,5,90300904,0,0,0,0,0,101,0,914,0,0,0,1,0
914,第四关宝物,3,23,30,C_zuanshi_01.png,0,8,20,7,4,0,1,5,90400905,0,0,0,0,0,111,0,915,0,0,0,1,0
915,第五关宝物,3,27,23,C_qianbi_01.png,0,8,20,7,4,0,1,5,90500906,0,0,0,0,0,101,0,916,0,0,0,1,0
916,第六关宝物,3,62,29,C_zuanshi_01.png,0,8,20,7,4,0,1,5,90600907,0,0,0,0,0,111,0,917,0,0,0,1,0
917,第八关宝物,3,45,22,C_qianbi_01.png,0,8,20,7,4,0,1,5,90800910,0,0,0,0,0,101,0,918,0,0,0,1,0
918,第九关宝物,3,55,21,C_zuanshi_01.png,0,8,20,7,4,0,1,5,90900911,0,0,0,0,0,111,0,919,0,0,0,1,0
